date,ticker,side,price,size
2026-08-06,TQQQ,BUY,70.8400,0.5061
2026-08-06,SPXL,BUY,293.2100,0.9206
2026-08-07,TQQQ,SELL,73.6500,
2026-08-10,SPXL,SELL,295.7200,
2026-08-11,TQQQ,BUY,74.5400,0.5321
2026-08-14,TQQQ,SELL,77.5650,
